size,count
18366,1
18381,1
18387,3
18396,1
18408,1
18430,1
18446,2
18450,1
18461,1
18498,1
18530,1
18593,3
18601,1
18609,1
18619,3
18626,1
18637,3
18666,1
18677,3
18690,1
18709,1
18718,1
18736,1
18739,2
18751,1
18769,1
18779,1
18803,1
18839,1
18853,4
18870,1
18872,4
18893,1
18902,5
18904,1
18906,1
18929,1
18930,1
18967,3
18971,1
18975,1
18977,6
18985,1
18999,3
19017,4
19018,1
19033,1
19044,1
19054,1
19071,1
19085,1
19110,2
19112,3
19141,4
19177,4
19197,3
19202,3
19204,1
19218,1
19225,1
19271,1
19279,4
19280,1
19322,3
19327,3
19334,2
19343,1
19379,2
19392,4
19412,3
19429,1
19457,3
19463,1
19492,3
19493,1
19498,1
19516,1
19542,3
19574,1
19582,4
19593,1
19617,3
19627,3
19641,1
19676,1
19677,3
19694,1
19727,3
19734,2
19748,1
19789,3
19821,1
19849,1
19850,2
19878,1
19880,1
19885,2
19891,1
19918,1
19936,1
19949,1
19972,3
19973,1
19977,3
19988,1
20004,1
20021,1
20034,1
20041,1
20045,1
20052,3
20066,1
20081,1
20094,2
20106,1
20108,1
20122,3
20154,1
20175,1
20188,1
20189,1
20196,1
20199,1
20206,1
20210,1
20234,3
20239,1
20248,1
20250,1
20282,4
20296,1
20315,1
20322,3
20337,4
20349,3
20354,2
20385,1
20391,1
20418,1
20421,1
20426,1
20431,1
20456,1
20461,1
20479,1
20490,1
20496,1
20502,3
20546,1
20547,3
20558,1
20585,1
20600,1
20602,3
20617,3
20622,3
20633,1
20638,1
20645,1
20655,2
20687,3
20701,1
20712,5
20729,1
20730,1
20740,1
20756,1
20772,4
20794,1
20807,3
20853,1
20914,1
20918,1
20925,1
20949,1
20974,1
20984,1
20988,1
21027,3
21049,1
21050,1
21130,1
21188,2
21200,2
21202,3
21206,1
21213,1
21275,1
21327,3
21343,1
21359,1
21369,1
21379,1
21417,3
21439,2
21445,1
21460,1
21507,3
21519,1
21538,1
21544,1
21563,1
21565,1
21595,1
21609,1
21617,3
21641,1
21657,3
21660,2
21683,1
21747,3
21749,1
21760,5
21765,1
21779,1
21780,1
21799,3
21822,3
21838,1
21891,2
21906,1
21917,3
21959,2
21972,3
21994,1
22012,3
22015,1
22031,2
22034,1
22054,1
22059,1
22087,4
22100,1
22116,1
22130,2
22138,1
22144,3
22145,1
22156,1
22161,1
22172,3
22188,1
22239,1
22246,1
22249,1
22257,3
22260,1
22263,2
22264,2
22275,1
22279,1
22281,2
22284,2
22293,1
22294,1
22298,3
22337,3
22338,1
22379,1
22405,1
22409,2
22410,1
22437,3
22442,5
22445,1
22450,1
22451,2
22453,1
22474,1
22477,3
22493,1
22556,1
22557,3
22567,3
22598,1
22604,1
22615,1
22638,1
22656,5
22666,2
22667,3
22678,1
22721,1
22747,3
22753,1
22754,1
22760,3
22764,3
22776,1
22781,1
22808,1
22835,1
22867,3
22896,3
22905,1
22922,3
22924,1
22930,1
22944,2
22967,3
22977,3
22982,3
22983,1
22992,3
23018,1
23028,1
23045,3
23050,1
23053,2
23059,1
23063,1
23065,1
23069,1
23079,1
23092,5
23100,1
23106,1
23120,1
23125,1
23132,3
23136,1
23170,1
23178,1
23185,1
23187,3
23204,1
23237,3
23244,1
23269,1
23277,3
23278,1
23292,3
23318,1
23320,1
23338,1
23342,3
23391,1
23397,3
23399,1
23441,1
23475,1
23490,1
23498,1
23507,3
23510,2
23511,1
23518,1
23551,1
23568,1
23572,3
23620,1
23623,3
23625,1
23633,1
23641,2
23648,4
23650,2
23661,1
23736,1
23737,3
23749,1
23758,1
23780,1
23804,1
23833,1
23845,1
23862,3
23865,2
23871,2
23874,1
23875,3
23882,3
23888,1
23896,1
23935,1
23944,1
23948,2
23957,3
23962,3
23964,1
23978,1
24016,1
24021,1
24022,3
24024,1
24030,1
24031,2
24038,1
24049,1
24051,1
24075,1
24084,2
24091,2
24097,3
24103,1
24113,2
24115,1
24128,1
24130,1
24170,3
24173,1
24185,1
24194,2
24213,1
24237,5
24257,5
24267,3
24311,1
24370,1
24373,1
24384,3
24461,1
24463,1
24466,1
24479,2
24492,3
24494,1
24508,1
24509,1
24527,3
24528,1
24571,1
24578,1
24581,1
24590,3
24593,1
24599,1
24619,1
24631,1
24636,1
24645,1
24650,1
24671,1
24727,3
24732,3
24752,3
24755,1
24762,3
24766,1
24773,1
24778,1
24797,5
24813,2
24816,1
24818,1
24820,2
24825,1
24830,1
24833,1
24840,1
24893,1
24898,1
24917,3
24928,1
24961,1
24965,2
24972,3
24998,3
25005,3
25014,1
25015,1
25053,1
25063,1
25068,1
25074,1
25078,1
25082,3
25102,3
25113,1
25141,1
25147,3
25149,1
25153,1
25157,5
25160,1
25167,3
25200,1
25214,1
25266,1
25267,4
25287,3
25301,1
25307,3
25308,1
25309,1
25315,1
25318,1
25338,2
25350,1
25353,1
25358,3
25360,1
25387,3
25399,1
25425,1
25427,3
25462,6
25469,3
25501,1
25505,1
25508,1
25527,5
25530,1
25538,1
25544,1
25546,1
25574,1
25583,1
25586,1
25653,2
25701,1
25713,2
25714,1
25774,2
25788,1
25789,2
25790,1
25831,1
25859,1
25866,1
25877,3
25898,1
25908,2
25912,3
25914,1
25950,1
25952,3
25957,3
25959,1
25977,3
25989,1
25999,1
26009,4
26052,3
26056,1
26069,1
26081,1
26086,1
26088,1
26091,1
26092,3
26102,4
26150,1
26172,3
26173,1
26175,1
26176,3
26185,1
26187,3
26188,1
26189,1
26208,1
26218,1
26220,1
26230,1
26238,1
26279,1
26285,1
26286,1
26294,1
26313,1
26321,1
26360,1
26397,3
26421,1
26423,1
26437,3
26461,2
26465,1
26466,1
26473,1
26495,1
26508,2
26525,2
26550,2
26580,1
26606,1
26621,1
26626,1
26631,1
26633,1
26636,1
26654,1
26660,1
26663,1
26682,3
26699,1
26711,1
26743,1
26770,1
26771,2
26772,3
26779,1
26809,1
26837,3
26850,3
26851,1
26868,1
26891,1
26921,1
26936,1
26947,3
26950,1
27005,1
27014,1
27034,1
27039,1
27053,1
27054,1
27057,3
27065,1
27076,2
27085,1
27092,3
27113,1
27129,1
27142,3
27143,1
27147,3
27168,3
27195,1
27202,3
27219,3
27225,1
27227,3
27231,2
27238,1
27245,1
27273,2
27317,3
27318,1
27325,1
27344,1
27350,1
27377,3
27381,1
27387,3
27395,1
27466,1
27468,1
27476,1
27491,1
27497,4
27503,1
27509,1
27523,1
27531,1
27542,4
27555,3
27558,1
27565,5
27566,2
27568,1
27576,3
27584,1
27596,1
27624,1
27646,1
27658,1
27667,5
27683,1
27693,1
27706,2
27712,3
27718,1
27733,1
27740,1
27746,1
27750,1
27751,1
27758,1
27767,3
27769,1
27800,3
27813,1
27861,1
27877,3
27883,1
27884,1
27900,1
27920,1
27940,2
27942,3
27945,1
27955,1
27961,1
27963,3
28008,1
28020,1
28042,5
28088,1
28101,1
28104,1
28106,1
28145,1
28148,1
28153,1
28160,3
28161,1
28167,1
28177,1
28209,1
28212,1
28243,1
28257,1
28262,1
28305,1
28311,1
28328,1
28340,1
28350,1
28354,1
28364,1
28383,3
28384,1
28398,5
28411,1
28425,1
28435,1
28438,1
28446,1
28463,1
28480,1
28488,1
28492,1
28503,1
28545,1
28559,1
28601,1
28607,1
28612,1
28619,1
28623,1
28624,1
28637,1
28641,1
28643,1
28644,1
28658,1
28673,1
28678,1
28706,2
28710,1
28719,1
28721,1
28729,1
28746,1
28762,1
28779,1
28786,1
28793,1
28801,1
28804,1
28809,1
28851,2
28891,1
28894,1
28898,2
28927,2
28939,1
28946,1
28949,1
28950,3
28959,1
28981,3
28982,1
28985,2
28989,1
29002,1
29044,1
29059,1
29065,2
29068,1
29076,1
29089,1
29139,1
29148,1
29149,1
29165,1
29173,1
29184,3
29194,1
29198,1
29220,1
29240,1
29272,1
29274,1
29277,1
29283,1
29310,1
29316,4
29317,3
29322,3
29355,2
29370,3
29371,1
29372,1
29378,1
29411,1
29416,1
29427,1
29466,1
29479,1
29500,1
29519,1
29554,1
29558,1
29567,1
29572,3
29574,1
